run_id,timestamp,dataset_name,algorithm_name,algorithm_params,execution_time_s,score,path1_distance,path2_distance,is_valid,path1,path2
Random_20260324T000616407678,2026-03-24T00:06:16.408307,random_50,Random,"{""random_seed"": 42, ""max_attempts"": 100}",0.000334,26388.1593,26388.1593,25603.7331,True,"[25, 23, 19, 11, 4, 45, 26, 9, 29, 16, 31, 21, 12, 3, 39, 38, 10, 24, 35, 0, 43, 18, 33, 48, 41, 30, 28, 20, 22, 42, 46, 36, 32, 44, 13, 49, 47, 2, 27, 37, 5, 34, 6, 8, 14, 15, 17, 1, 7, 40]","[26, 15, 44, 12, 38, 9, 46, 16, 48, 35, 20, 1, 32, 5, 8, 21, 29, 14, 47, 33, 43, 2, 18, 41, 49, 23, 27, 11, 37, 22, 39, 13, 45, 6, 17, 10, 4, 3, 0, 28, 36, 42, 31, 24, 19, 25, 40, 30, 7, 34]"
NearestNeighbor_20260324T000616408484,2026-03-24T00:06:16.411908,random_50,NearestNeighbor,"{""seed1"": null, ""seed2"": null, ""random_seed"": 42}",0.003211,8858.7808,6150.0949,8858.7808,True,"[40, 24, 37, 46, 38, 43, 48, 30, 19, 14, 18, 10, 15, 32, 2, 27, 7, 31, 41, 16, 26, 35, 28, 45, 8, 5, 29, 47, 23, 22, 6, 13, 44, 33, 11, 25, 42, 34, 39, 1, 21, 17, 4, 0, 20, 9, 3, 36, 12, 49]","[7, 37, 40, 42, 11, 1, 34, 25, 39, 21, 29, 23, 6, 44, 22, 13, 33, 4, 20, 3, 12, 38, 48, 19, 18, 2, 10, 32, 49, 15, 14, 30, 43, 46, 36, 24, 27, 31, 17, 8, 28, 26, 41, 35, 16, 45, 5, 47, 0, 9]"
NearestNeighbor_20260324T000616412345,2026-03-24T00:06:16.414524,random_50,NearestNeighbor,"{""seed1"": 0, ""seed2"": 1, ""random_seed"": 42}",0.001935,8500.6182,6245.937,8500.6182,False,"[0, 20, 9, 3, 36, 12, 38, 43, 48, 30, 19, 14, 18, 10, 15, 32, 2, 27, 7, 37, 24, 40, 42, 25, 11, 1, 39, 34, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 5, 8, 45, 28, 35, 26, 16, 41, 31, 17, 46, 49]","[1, 34, 25, 39, 21, 23, 6, 44, 22, 13, 33, 11, 42, 4, 0, 9, 36, 46, 38, 48, 19, 18, 2, 10, 32, 49, 15, 14, 30, 43, 12, 3, 20, 40, 37, 27, 31, 7, 24, 17, 8, 28, 26, 41, 35, 16, 45, 5, 29, 47]"
GreedyEdgeSplit_20260324T000616414822,2026-03-24T00:06:16.417304,random_50,GreedyEdgeSplit,"{""max_degree"": 2}",0.002235,7594.7977,7270.0812,7594.7977,True,"[12, 9, 0, 20, 3, 36, 46, 38, 43, 48, 30, 19, 18, 10, 32, 49, 14, 15, 2, 27, 24, 37, 7, 31, 41, 26, 16, 35, 28, 45, 8, 5, 17, 4, 11, 40, 42, 25, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 33, 44]","[16, 41, 49, 0, 3, 9, 20, 36, 12, 38, 48, 19, 14, 18, 2, 10, 15, 32, 30, 43, 46, 37, 40, 24, 7, 27, 31, 17, 8, 28, 26, 35, 45, 5, 29, 23, 6, 44, 13, 22, 47, 39, 34, 21, 1, 25, 11, 42, 4, 33]"
TwoOpt_20260324T000616417607,2026-03-24T00:06:16.431422,random_50,TwoOpt,"{""seed_algorithm"": ""NearestNeighbor(seed1=None, seed2=None, random_seed=42)"", ""max_iterations"": 50, ""random_seed"": 42}",0.013453,8214.7573,5475.2078,8214.7573,False,"[40, 24, 37, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 17, 5, 47, 29, 34, 42, 25, 11, 1, 39, 21, 23, 22, 6, 13, 44, 33, 4, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 30, 19, 14, 18, 2, 10, 15, 32, 49]","[7, 37, 40, 42, 11, 44, 6, 23, 47, 22, 13, 33, 4, 20, 3, 12, 43, 30, 49, 32, 10, 14, 15, 2, 18, 19, 48, 38, 36, 46, 24, 27, 31, 16, 35, 41, 26, 28, 8, 17, 45, 5, 29, 21, 39, 34, 1, 25, 0, 9]"
